time_us,x,y,z
6180,0.330400,-9.840169
4260161983,-0.282516,0.330400,-9.770737
4260163133,-0.320823,0.330400,-9.816227
4260164277,-0.339977,0.390255,-9.911995
4260165422,-0.323217,0.421380,-9.897630
4260166567,-0.301669,0.383072,-9.895236
4260167792,-0.313640,0.375890,-9.900024
4260169031,-0.323217,0.344765,-9.890448
4260170218,-0.344765,0.368707,-9.842564
4260171405,-0.308852,0.397437,-9.809045
4260172594,-0.342371,0.416591,-9.866506
4260173776,-0.335188,0.363919,-9.835381
4260174965,-0.323217,0.318429,-9.844957
4260176159,-0.375890,0.325611,-9.888053
4260177354,-0.287304,0.304064,-9.888053
4260178538,-0.308852,0.323217,-9.914390
4260179729,-0.299275,0.354342,-9.835381
4260180905,-0.328006,0.402226,-9.768343
4260182087,-0.306458,0.442927,-9.777920
4260183268,-0.330400,0.397437,-9.876082
4260184458,-0.371101,0.332794,-9.909601
4260185642,-0.339977,0.339977,-9.940725
4260186827,-0.292093,0.306458,-9.892841
4260188018,-0.241814,0.301669,-9.852140
4260189209,-0.282516,0.351948,-9.832987
4260190395,-0.351948,0.414197,-9.830592
4260191585,-0.363919,0.440533,-9.856929
4260192768,-0.292093,0.390255,-9.931149
4260193950,-0.280122,0.378284,-9.947908
4260195133,-0.277727,0.325611,-9.919178
4260196323,-0.277727,0.325611,-9.880871
4260197505,-0.282516,0.335188,-9.955091
4260198696,-0.339977,0.375890,-9.828198
4260199874,-0.404620,0.414197,-9.892841
4260201053,-0.421380,0.380678,-9.979033
4260202234,-0.416591,0.361524,-9.993398
4260203421,-0.328006,0.354342,-9.957485
4260204603,-0.248997,0.248997,-9.883265
4260205791,-0.198719,0.251391,-9.840169
4260206972,-0.277727,0.328006,-9.773131
4260208169,-0.301669,0.399832,-9.880871
4260209361,-0.361524,0.466869,-9.789890
4260210553,-0.438139,0.490811,-9.907207
4260211728,-0.423774,0.421380,-9.947908
4260212915,-0.387861,0.378284,-9.923966
4260214080,-0.320823,0.304064,-9.890448
4260215274,-0.256180,0.272939,-9.861717
4260216456,-0.304064,0.407014,-9.794679
4260217644,-0.349553,0.418985,-9.813833
4260218828,-0.375890,0.380678,-9.821015
4260220018,-0.356736,0.397437,-9.935937
4260221207,-0.349553,0.318429,-10.024523
4260222398,-0.275333,0.390255,-9.804255
4260223583,-0.304064,0.378284,-9.763555
4260224769,-0.330400,0.308852,-9.842564
4260225946,-0.332794,0.344765,-9.773131
4260227135,-0.263362,0.387861,-9.888053
4260228323,-0.268151,0.349553,-9.880871
4260229510,-0.258574,0.438139,-9.837775
4260230701,-0.320823,0.368707,-9.868899
4260231887,-0.320823,0.335188,-9.947908
4260233068,-0.308852,0.330400,-9.821015
4260234255,-0.363919,0.342371,-9.773131
4260235441,-0.373495,0.395043,-9.823410
4260236627,-0.397437,0.387861,-9.885659
4260237811,-0.356736,0.351948,-9.885659
4260238999,-0.363919,0.330400,-9.890448
4260240192,-0.342371,0.397437,-9.945514
4260241380,-0.347159,0.351948,-9.809045
4260242561,-0.402226,0.337582,-9.739613
4260243749,-0.383072,0.390255,-9.809045
4260244934,-0.342371,0.404620,-9.830592
4260246121,-0.328006,0.430956,-9.866506
4260247264,-0.265756,0.392649,-9.923966
4260248458,-0.304064,0.397437,-9.885659
4260249645,-0.294487,0.316035,-9.801862
4260250827,-0.277727,0.363919,-9.856929
4260252025,-0.371101,0.332794,-9.842564
4260253207,-0.342371,0.351948,-9.813833
4260254398,-0.361524,0.397437,-9.919178
4260255584,-0.318429,0.368707,-9.998186
4260256771,-0.313640,0.399832,-9.828198
4260257949,-0.351948,0.404620,-9.842564
4260259143,-0.354342,0.330400,-9.816227
4260260330,-0.359130,0.335188,-9.763555
4260261516,-0.253785,0.354342,-9.897630
4260262697,-0.337582,0.366313,-9.943120
4260263883,-0.294487,0.402226,-9.926360
4260265064,-0.296881,0.402226,-9.916783
4260266251,-0.296881,0.416591,-9.926360
4260267430,-0.313640,0.373495,-9.792285
4260268617,-0.344765,0.356736,-9.797073
4260269800,-0.316035,0.342371,-9.710882
4260270986,-0.313640,0.342371,-9.804255
4260272179,-0.294487,0.335188,-9.890448
4260273373,-0.311246,0.328006,-9.998186
4260274552,-0.306458,0.354342,-9.950302
4260275732,-0.275333,0.356736,-9.907207
4260276914,-0.325611,0.359130,-9.883265
4260278097,-0.361524,0.359130,-9.811439
4260279276,-0.342371,0.395043,-9.763555
4260280463,-0.313640,0.335188,-9.979033
4260281650,-0.418985,0.323217,-9.950302
4260282837,-0.308852,0.325611,-9.988609
4260284029,-0.232238,0.316035,-9.911995
4260285216,-0.244209,0.356736,-9.806650
4260286402,-0.354342,0.330400,-9.794679
4260287591,-0.330400,0.418985,-9.809045
4260288771,-0.349553,0.385466,-9.744401
4260289953,-0.356736,0.330400,-9.756371
4260291135,-0.304064,0.304064,-9.837775
4260292326,-0.347159,0.313640,-9.986216
4260293508,-0.275333,0.306458,-9.981427
4260294698,-0.277727,0.328006,-9.849746
4260295876,-0.287304,0.320823,-9.828198
4260297061,-0.330400,0.395043,-9.842564
4260298245,-0.347159,0.378284,-9.866506
4260299429,-0.318429,0.363919,-9.789890
4260300608,-0.316035,0.397437,-9.900024
4260301799,-0.325611,0.375890,-9.914390
4260302987,-0.361524,0.373495,-9.947908
