time_us,x,y,z
839437668,0.356736,-0.514753,-9.830592
1839438818,0.354342,-0.553061,-9.856929
1839439962,0.253785,-0.557849,-9.868899
1839441107,0.296881,-0.529119,-9.789890
1839442251,0.328006,-0.512359,-9.789890
1839443475,0.284910,-0.486023,-9.840169
1839444702,0.316035,-0.517148,-9.933543
1839445919,0.318429,-0.495600,-9.935937
1839447110,0.308852,-0.497994,-9.847352
1839448295,0.323217,-0.500388,-9.809045
1839449481,0.301669,-0.505177,-9.854534
1839450664,0.299275,-0.509965,-9.861717
1839451861,0.320823,-0.541090,-9.794679
1839453052,0.308852,-0.505177,-9.811439
1839454241,0.304064,-0.478840,-9.756371
1839455416,0.289698,-0.533907,-9.842564
1839456602,0.323217,-0.517148,-9.876082
1839457781,0.308852,-0.483629,-9.835381
1839458968,0.292093,-0.514753,-9.859323
1839460155,0.280122,-0.471658,-9.832987
1839461345,0.306458,-0.464475,-9.868899
1839462528,0.332794,-0.512359,-9.821015
1839463726,0.347159,-0.478840,-9.799467
1839464878,0.332794,-0.502782,-9.883265
1839466077,0.356736,-0.478840,-9.892841
1839467264,0.359130,-0.459687,-9.799467
1839468450,0.318429,-0.481235,-9.787497
1839469642,0.260968,-0.497994,-9.797073
1839470825,0.301669,-0.521936,-9.825804
1839472022,0.335188,-0.512359,-9.823410
1839473209,0.349553,-0.471658,-9.832987
1839474391,0.325611,-0.502782,-9.856929
1839475574,0.366313,-0.526724,-9.900024
1839476756,0.308852,-0.445322,-9.842564
1839477935,0.328006,-0.481235,-9.835381
1839479122,0.363919,-0.474052,-9.861717
1839480304,0.335188,-0.524330,-9.844957
1839481491,0.380678,-0.486023,-9.861717
1839482668,0.371101,-0.447716,-9.825804
1839483849,0.339977,-0.490811,-9.935937
1839485045,0.347159,-0.483629,-9.904813
1839486232,0.320823,-0.488417,-9.832987
1839487414,0.332794,-0.476446,-9.890448
1839488595,0.378284,-0.495600,-9.890448
1839489770,0.328006,-0.536301,-9.856929
1839490959,0.304064,-0.512359,-9.895236
1839492144,0.356736,-0.483629,-9.883265
1839493331,0.354342,-0.476446,-9.883265
1839494512,0.328006,-0.471658,-9.904813
1839495699,0.316035,-0.466869,-9.957485
1839496893,0.335188,-0.493206,-9.868899
1839498080,0.335188,-0.486023,-9.818622
1839499262,0.299275,-0.519542,-9.859323
1839500454,0.313640,-0.486023,-9.904813
1839501639,0.258574,-0.507571,-9.950302
1839502826,0.299275,-0.476446,-9.923966
1839504013,0.330400,-0.488417,-9.933543
1839505202,0.282516,-0.464475,-9.842564
1839506388,0.335188,-0.536301,-9.830592
1839507570,0.342371,-0.526724,-9.864111
1839508749,0.328006,-0.548272,-9.861717
1839509933,0.330400,-0.474052,-9.921572
1839511113,0.363919,-0.502782,-9.895236
1839512305,0.375890,-0.521936,-9.837775
1839513487,0.368707,-0.474052,-9.904813
1839514669,0.347159,-0.471658,-9.933543
1839515862,0.366313,-0.471658,-9.844957
1839517021,0.323217,-0.526724,-9.828198
1839518215,0.356736,-0.483629,-9.756371
1839519410,0.402226,-0.497994,-9.847352
1839520597,0.380678,-0.519542,-9.916783
1839521785,0.342371,-0.529119,-9.775525
1839522968,0.361524,-0.514753,-9.837775
1839524160,0.335188,-0.531513,-9.890448
1839525345,0.335188,-0.517148,-9.911995
1839526534,0.335188,-0.509965,-9.911995
1839527727,0.304064,-0.459687,-9.911995
1839528917,0.354342,-0.519542,-9.919178
1839530103,0.320823,-0.529119,-9.840169
1839531289,0.359130,-0.538695,-9.897630
1839532471,0.270545,-0.500388,-9.921572
1839533653,0.275333,-0.466869,-9.940725
1839534835,0.311246,-0.529119,-9.835381
1839536028,0.351948,-0.533907,-9.890448
1839537209,0.342371,-0.541090,-9.866506
1839538398,0.323217,-0.524330,-9.832987
1839539576,0.237026,-0.555455,-9.854534
1839540762,0.277727,-0.565032,-9.883265
1839541947,0.306458,-0.514753,-9.868899
1839543133,0.282516,-0.567426,-9.888053
1839544316,0.325611,-0.536301,-9.811439
1839545509,0.275333,-0.512359,-9.904813
1839546692,0.282516,-0.526724,-9.837775
1839547892,0.299275,-0.519542,-9.799467
1839549077,0.308852,-0.509965,-9.770737
1839550263,0.282516,-0.500388,-9.713276
1839551438,0.320823,-0.497994,-9.737218
1839552626,0.354342,-0.514753,-9.801862
1839553808,0.296881,-0.557849,-9.789890
1839554995,0.292093,-0.514753,-9.674969
1839556177,0.299275,-0.493206,-9.727641
1839557329,0.339977,-0.469264,-9.809045
1839558522,0.373495,-0.519542,-9.785102
1839559710,0.318429,-0.519542,-9.775525
1839560908,0.296881,-0.555455,-9.804255
1839562098,0.244209,-0.474052,-9.775525
1839563280,0.272939,-0.488417,-9.813833
1839564462,0.354342,-0.464475,-9.809045
1839565637,0.332794,-0.488417,-9.830592
1839566825,0.363919,-0.502782,-9.799467
1839568019,0.332794,-0.486023,-9.821015
1839569210,0.311246,-0.488417,-9.801862
1839570395,0.260968,-0.500388,-9.785102
1839571576,0.301669,-0.524330,-9.746795
1839572754,0.311246,-0.497994,-9.775525
1839573944,0.308852,-0.517148,-9.670180
1839575125,0.296881,-0.486023,-9.789890
1839576311,0.263362,-0.521936,-9.844957
1839577494,0.296881,-0.493206,-9.828198
1839578680,0.354342,-0.569820,-9.763555
1839579875,0.287304,-0.505177,-9.773131
1839581069,0.253785,-0.500388,-9.801862
1839582255,0.349553,-0.483629,-9.866506
1839583436,0.304064,-0.505177,-9.797073
1839584617,0.323217,-0.536301,-9.830592
1839585797,0.361524,-0.519542,-9.902418
1839586979,0.323217,-0.512359,-9.931149
1839588167,0.347159,-0.524330,-9.911995
1839589357,0.328006,-0.505177,-9.763555
1839590547,0.356736,-0.521936,-9.828198
1839591742,0.368707,-0.517148,-9.823410
1839592928,0.292093,-0.512359,-9.756371
1839594107,0.371101,-0.476446,-9.830592
1839595297,0.318429,-0.445322,-9.821015
1839596479,0.296881,-0.505177,-9.821015
1839597662,0.330400,-0.526724,-9.847352
1839598850,0.316035,-0.517148,-9.866506
1839600001,0.311246,-0.557849,-9.902418
1839601198,0.282516,-0.543484,-9.974244
1839602388,0.248997,-0.545878,-9.900024
1839603563,0.284910,-0.555455,-9.880871
1839604748,0.299275,-0.548272,-9.868899
1839605930,0.349553,-0.478840,-9.844957
1839607117,0.311246,-0.538695,-9.904813
1839608304,0.284910,-0.524330,-9.897630
1839609490,0.299275,-0.509965,-9.919178
1839610668,0.313640,-0.500388,-9.861717
1839611865,0.311246,-0.536301,-9.921572
1839613056,0.296881,-0.490811,-9.852140
1839614246,0.335188,-0.469264,-9.816227
1839615423,0.351948,-0.543484,-9.821015
1839616611,0.323217,-0.524330,-9.873688
1839617789,0.318429,-0.519542,-9.883265
1839618976,0.308852,-0.457293,-9.947908
1839620156,0.282516,-0.502782,-9.883265
1839621346,0.332794,-0.471658,-9.849746
1839622530,0.335188,-0.541090,-9.792285
1839623726,0.328006,-0.476446,-9.861717
1839624913,0.268151,-0.521936,-9.933543
1839626104,0.308852,-0.478840,-9.947908
1839627284,0.368707,-0.509965,-9.926360
1839628470,0.325611,-0.553061,-9.907207
1839629653,0.313640,-0.553061,-9.854534
1839630840,0.328006,-0.526724,-9.890448
1839632027,0.287304,-0.545878,-9.964667
1839633213,0.308852,-0.574608,-9.940725
1839634403,0.342371,-0.548272,-9.856929
1839635590,0.339977,-0.519542,-9.947908
1839636771,0.275333,-0.474052,-9.921572
1839637963,0.304064,-0.526724,-10.005369
1839639147,0.270545,-0.533907,-9.902418
1839640332,0.287304,-0.545878,-9.880871
1839641515,0.284910,-0.493206,-9.830592
1839642699,0.328006,-0.486023,-9.842564
1839643892,0.308852,-0.550666,-9.821015
1839645078,0.306458,-0.481235,-9.844957
1839646261,0.275333,-0.514753,-9.890448
1839647452,0.270545,-0.543484,-9.931149
1839648639,0.375890,-0.524330,-9.900024
1839649822,0.359130,-0.543484,-9.849746
1839651016,0.296881,-0.536301,-9.933543
1839652205,0.361524,-0.524330,-9.816227
1839653390,0.395043,-0.495600,-9.854534
1839654577,0.301669,-0.497994,-9.861717
1839655755,0.294487,-0.514753,-9.885659
1839656946,0.289698,-0.519542,-9.916783
1839658129,0.339977,-0.591368,-9.935937
1839659316,0.306458,-0.517148,-9.979033
1839660504,0.275333,-0.466869,-9.897630
1839661697,0.320823,-0.459687,-9.804255
1839662890,0.344765,-0.507571,-9.835381
1839664078,0.368707,-0.536301,-9.914390
1839665259,0.342371,-0.543484,-9.964667
1839666441,0.332794,-0.517148,-9.890448
1839667624,0.325611,-0.521936,-9.962274
1839668805,0.311246,-0.483629,-9.974244
1839669988,0.337582,-0.433351,-9.892841
1839671172,0.356736,-0.481235,-9.849746
1839672353,0.311246,-0.502782,-9.864111
1839673541,0.253785,-0.521936,-9.902418
1839674734,0.292093,-0.526724,-9.868899
1839675920,0.284910,-0.474052,-9.806650
1839677106,0.237026,-0.486023,-9.806650
1839678294,0.258574,-0.481235,-9.789890
1839679476,0.332794,-0.457293,-9.777920
1839680659,0.316035,-0.469264,-9.780313
1839681848,0.306458,-0.497994,-9.816227
1839683041,0.328006,-0.476446,-9.885659
1839684222,0.328006,-0.519542,-9.770737
1839685406,0.339977,-0.531513,-9.672575
1839686593,0.359130,-0.517148,-9.761160
1839687778,0.387861,-0.507571,-9.830592
1839688958,0.421380,-0.507571,-9.825804
1839690147,0.351948,-0.474052,-9.955091
1839691328,0.316035,-0.495600,-9.856929
1839692515,0.328006,-0.481235,-9.825804
1839693697,0.366313,-0.488417,-9.823410
1839694896,0.335188,-0.514753,-9.837775
1839696077,0.337582,-0.550666,-9.914390
1839697263,0.330400,-0.500388,-9.935937
1839698440,0.318429,-0.426168,-9.861717
1839699624,0.294487,-0.452504,-9.849746
1839700802,0.335188,-0.486023,-9.847352
1839701989,0.344765,-0.490811,-9.821015
1839703171,0.359130,-0.426168,-9.761160
1839704355,0.332794,-0.476446,-9.823410
1839705538,0.304064,-0.462081,-9.907207
1839706733,0.325611,-0.483629,-9.871294
1839707916,0.359130,-0.471658,-9.864111
1839709106,0.313640,-0.553061,-9.852140
1839710290,0.323217,-0.514753,-9.873688
1839711478,0.361524,-0.478840,-9.799467
1839712656,0.397437,-0.509965,-9.777920
1839713841,0.328006,-0.476446,-9.821015
1839715028,0.356736,-0.524330,-9.842564
1839716214,0.339977,-0.505177,-9.842564
1839717400,0.359130,-0.541090,-9.897630
1839718581,0.332794,-0.521936,-9.866506
1839719762,0.339977,-0.478840,-9.818622
1839720952,0.356736,-0.466869,-9.789890
1839722135,0.373495,-0.462081,-9.804255
1839723320,0.349553,-0.497994,-9.809045
1839724503,0.323217,-0.500388,-9.892841
1839725688,0.325611,-0.447716,-9.809045
1839726882,0.306458,-0.476446,-9.734824
1839728075,0.337582,-0.490811,-9.861717
1839729255,0.359130,-0.474052,-9.856929
1839730446,0.320823,-0.519542,-9.856929
1839731633,0.359130,-0.476446,-9.919178
1839732819,0.356736,-0.486023,-9.943120
1839734004,0.313640,-0.464475,-9.947908
1839735193,0.325611,-0.445322,-9.842564
1839736379,0.335188,-0.450110,-9.830592
1839737559,0.337582,-0.459687,-9.849746
1839738744,0.316035,-0.521936,-9.868899
1839739931,0.301669,-0.507571,-9.825804
1839741111,0.299275,-0.538695,-9.868899
1839742302,0.339977,-0.509965,-9.844957
1839743485,0.423774,-0.493206,-9.849746
1839744667,0.380678,-0.497994,-9.878476
1839745860,0.337582,-0.519542,-9.921572
1839747057,0.323217,-0.488417,-9.871294
1839748243,0.356736,-0.500388,-9.919178
1839749429,0.339977,-0.519542,-10.036493
1839750608,0.320823,-0.486023,-9.880871
1839751790,0.371101,-0.531513,-9.883265
1839752972,0.325611,-0.529119,-9.866506
1839754164,0.371101,-0.512359,-9.897630
1839755348,0.368707,-0.509965,-9.911995
1839756536,0.349553,-0.519542,-9.871294
1839757729,0.332794,-0.483629,-9.938332
1839758915,0.342371,-0.474052,-9.873688
1839760097,0.445322,-0.524330,-9.873688
1839761284,0.335188,-0.505177,-9.935937
1839762461,0.330400,-0.524330,-9.933543
1839763640,0.368707,-0.514753,-9.909601
1839764822,0.344765,-0.505177,-9.976639
1839766020,0.366313,-0.526724,-9.931149
1839767208,0.356736,-0.474052,-9.907207
1839768396,0.368707,-0.454898,-9.971850
1839769574,0.339977,-0.495600,-9.895236
1839770757,0.366313,-0.529119,-9.900024
1839771937,0.339977,-0.459687,-9.919178
1839773125,0.323217,-0.481235,-9.895236
1839774308,0.351948,-0.471658,-9.926360
1839775492,0.332794,-0.464475,-9.892841
1839776670,0.332794,-0.486023,-9.916783
1839777868,0.335188,-0.519542,-9.911995
1839779060,0.311246,-0.548272,-9.868899
1839780251,0.277727,-0.526724,-9.933543
1839781428,0.328006,-0.488417,-9.907207
1839782614,0.368707,-0.526724,-9.938332
1839783792,0.311246,-0.521936,-9.923966
1839784980,0.339977,-0.497994,-9.801862
1839786162,0.325611,-0.536301,-10.000581
1839787351,0.318429,-0.505177,-9.962274
1839788531,0.368707,-0.478840,-9.892841
1839789727,0.375890,-0.526724,-9.883265
1839790914,0.359130,-0.471658,-9.885659
1839792104,0.359130,-0.483629,-9.859323
1839793290,0.320823,-0.488417,-9.840169
1839794476,0.397437,-0.462081,-9.763555
1839795660,0.385466,-0.481235,-9.852140
1839796857,0.385466,-0.517148,-9.861717
1839798050,0.378284,-0.486023,-9.799467
1839799239,0.328006,-0.531513,-9.813833
1839800415,0.287304,-0.536301,-9.902418
1839801600,0.325611,-0.476446,-9.864111
1839802779,0.332794,-0.483629,-9.847352
1839803965,0.320823,-0.529119,-9.811439
1839805150,0.347159,-0.553061,-9.849746
1839806340,0.361524,-0.486023,-9.794679
1839807524,0.414197,-0.474052,-9.859323
1839808711,0.399832,-0.524330,-9.888053
1839809909,0.421380,-0.521936,-9.703699
1839811098,0.375890,-0.483629,-9.823410
1839812243,0.349553,-0.560243,-9.816227
1839813441,0.351948,-0.488417,-9.859323
1839814625,0.363919,-0.438139,-9.835381
1839815807,0.347159,-0.493206,-9.816227
1839816997,0.313640,-0.507571,-9.868899
1839818178,0.335188,-0.442927,-9.835381
1839819369,0.359130,-0.529119,-9.844957
1839820556,0.328006,-0.579397,-9.710882
1839821742,0.328006,-0.545878,-9.770737
1839822923,0.359130,-0.562637,-9.821015
1839824111,0.399832,-0.521936,-9.861717
1839825297,0.416591,-0.553061,-9.797073
1839826481,0.330400,-0.512359,-9.806650
1839827656,0.347159,-0.500388,-9.768343
1839828850,0.356736,-0.500388,-9.730036
1839830036,0.344765,-0.502782,-9.763555
1839831223,0.363919,-0.545878,-9.888053
1839832403,0.354342,-0.509965,-9.837775
1839833589,0.337582,-0.490811,-9.916783
1839834771,0.366313,-0.529119,-9.818622
1839835963,0.380678,-0.502782,-9.856929
1839837148,0.344765,-0.543484,-9.844957
1839838338,0.323217,-0.548272,-9.885659
1839839522,0.316035,-0.512359,-9.933543
1839840710,0.316035,-0.500388,-9.885659
1839841907,0.325611,-0.529119,-9.859323
1839843098,0.335188,-0.507571,-9.844957
1839844280,0.292093,-0.521936,-9.878476
1839845461,0.335188,-0.543484,-9.983821
1839846638,0.313640,-0.502782,-9.947908
1839847823,0.316035,-0.505177,-9.911995
1839849016,0.335188,-0.543484,-9.900024
1839850205,0.332794,-0.600945,-9.916783
1839851389,0.304064,-0.514753,-9.825804
1839852576,0.294487,-0.536301,-9.876082
1839853754,0.294487,-0.517148,-9.911995
1839854941,0.287304,-0.548272,-9.897630
1839856120,0.325611,-0.509965,-9.916783
1839857311,0.330400,-0.553061,-9.947908
1839858491,0.308852,-0.519542,-9.926360
1839859677,0.294487,-0.517148,-9.931149
1839860870,0.304064,-0.550666,-9.950302
1839862063,0.287304,-0.538695,-9.835381
1839863249,0.306458,-0.509965,-9.811439
1839864429,0.361524,-0.517148,-9.909601
1839865612,0.347159,-0.562637,-9.933543
1839866795,0.289698,-0.550666,-9.931149
1839867977,0.316035,-0.541090,-9.921572
1839869158,0.304064,-0.519542,-9.866506
1839870342,0.301669,-0.493206,-9.883265
1839871527,0.280122,-0.481235,-9.828198
1839872710,0.323217,-0.466869,-9.823410
1839873911,0.383072,-0.495600,-9.864111
1839875092,0.347159,-0.524330,-9.847352
1839876279,0.361524,-0.569820,-9.876082
1839877452,0.316035,-0.507571,-9.861717
1839878643,0.335188,-0.493206,-9.775525
1839879826,0.296881,-0.462081,-9.763555
1839881024,0.292093,-0.474052,-9.809045
1839882209,0.335188,-0.505177,-9.835381
1839883399,0.351948,-0.509965,-9.837775
1839884577,0.325611,-0.483629,-9.852140
1839885760,0.339977,-0.526724,-9.828198
1839886946,0.371101,-0.505177,-9.770737
1839888132,0.361524,-0.488417,-9.734824
1839889314,0.287304,-0.497994,-9.785102
1839890506,0.292093,-0.486023,-9.742006
1839891686,0.311246,-0.543484,-9.698911
1839892883,0.311246,-0.541090,-9.761160
1839894070,0.318429,-0.560243,-9.835381
1839895262,0.323217,-0.476446,-9.763555
1839896449,0.325611,-0.471658,-9.830592
1839897640,0.313640,-0.490811,-9.842564
1839898823,0.328006,-0.474052,-9.892841
1839900019,0.354342,-0.533907,-9.873688
1839901207,0.368707,-0.486023,-9.816227
1839902396,0.385466,-0.521936,-9.842564
1839903575,0.371101,-0.521936,-9.751583
1839904757,0.323217,-0.538695,-9.830592
1839905939,0.339977,-0.478840,-9.797073
1839907125,0.349553,-0.464475,-9.816227
1839908306,0.375890,-0.490811,-9.823410
1839909492,0.349553,-0.486023,-9.849746
1839910670,0.347159,-0.536301,-9.832987
1839911868,0.387861,-0.533907,-9.816227
1839913059,0.351948,-0.536301,-9.816227
1839914249,0.320823,-0.502782,-9.813833
1839915425,0.328006,-0.509965,-9.794679
1839916612,0.330400,-0.464475,-9.840169
1839917787,0.308852,-0.519542,-9.928755
1839918974,0.332794,-0.497994,-9.856929
1839920162,0.323217,-0.471658,-9.849746
1839921353,0.304064,-0.457293,-9.801862
1839922531,0.332794,-0.486023,-9.902418
1839923722,0.347159,-0.483629,-9.878476
1839924911,0.354342,-0.545878,-9.883265
1839926102,0.349553,-0.529119,-9.854534
1839927284,0.361524,-0.574608,-9.782708
1839928471,0.392649,-0.505177,-9.770737
1839929654,0.375890,-0.490811,-9.828198
1839930847,0.335188,-0.524330,-9.804255
1839932035,0.342371,-0.500388,-9.919178
1839933221,0.311246,-0.497994,-9.900024
1839934397,0.258574,-0.507571,-9.890448
1839935585,0.301669,-0.517148,-9.835381
1839936766,0.294487,-0.557849,-10.005369
1839937956,0.347159,-0.497994,-10.024523
1839939144,0.339977,-0.488417,-9.904813
1839940331,0.349553,-0.471658,-9.873688
1839941515,0.351948,-0.526724,-9.900024
1839942699,0.294487,-0.567426,-9.902418
1839943893,0.258574,-0.531513,-9.933543
1839945081,0.280122,-0.533907,-9.883265
1839946262,0.304064,-0.538695,-9.840169
1839947450,0.270545,-0.531513,-9.861717
1839948632,0.277727,-0.481235,-9.955091
1839949818,0.304064,-0.509965,-9.866506
1839951002,0.272939,-0.524330,-9.852140
1839952188,0.296881,-0.502782,-9.852140
1839953372,0.299275,-0.486023,-9.914390
1839954553,0.342371,-0.512359,-9.866506
1839955748,0.316035,-0.500388,-9.856929
1839956933,0.320823,-0.493206,-9.809045
1839958113,0.270545,-0.526724,-9.885659
1839959303,0.260968,-0.538695,-9.911995
1839960486,0.339977,-0.500388,-9.806650
1839961669,0.378284,-0.469264,-9.830592
1839962861,0.373495,-0.471658,-9.847352
1839964058,0.380678,-0.531513,-9.847352
1839965243,0.395043,-0.474052,-9.844957
1839966434,0.351948,-0.545878,-9.825804
1839967609,0.351948,-0.555455,-9.840169
1839968792,0.320823,-0.478840,-9.919178
1839969974,0.349553,-0.509965,-9.835381
1839971166,0.354342,-0.577003,-9.789890
1839972350,0.368707,-0.464475,-9.801862
1839973537,0.363919,-0.505177,-9.794679
1839974730,0.344765,-0.509965,-9.849746
1839975915,0.332794,-0.483629,-9.849746
1839977101,0.280122,-0.474052,-9.844957
1839978291,0.363919,-0.524330,-9.813833
1839979473,0.397437,-0.514753,-9.809045
1839980656,0.383072,-0.488417,-9.856929
1839981839,0.373495,-0.469264,-9.861717
1839983033,0.373495,-0.514753,-9.799467
1839984215,0.318429,-0.471658,-9.756371
1839985403,0.375890,-0.474052,-9.883265
1839986589,0.299275,-0.519542,-9.775525
1839987776,0.328006,-0.486023,-9.765948
1839988962,0.359130,-0.512359,-9.785102
1839990151,0.328006,-0.490811,-9.837775
1839991332,0.292093,-0.452504,-9.868899
1839992516,0.316035,-0.478840,-9.792285
1839993696,0.339977,-0.481235,-9.835381
1839994896,0.342371,-0.497994,-9.809045
1839996078,0.339977,-0.469264,-9.861717
1839997265,0.332794,-0.548272,-9.823410
1839998441,0.347159,-0.495600,-9.782708
1839999628,0.294487,-0.435745,-9.823410
1840000809,0.316035,-0.474052,-9.823410
1840001998,0.335188,-0.488417,-9.792285
1840003181,0.287304,-0.464475,-9.823410
1840004370,0.318429,-0.435745,-9.926360
1840005543,0.313640,-0.533907,-9.823410
1840006740,0.344765,-0.493206,-9.847352
1840007922,0.328006,-0.466869,-9.909601
1840009112,0.306458,-0.502782,-9.907207
1840010295,0.311246,-0.531513,-9.847352
1840011483,0.354342,-0.454898,-9.816227
1840012662,0.299275,-0.486023,-9.825804
1840013858,0.323217,-0.555455,-9.787497
1840015050,0.289698,-0.524330,-9.816227
1840016240,0.347159,-0.490811,-9.761160
1840017416,0.337582,-0.493206,-9.818622
1840018603,0.304064,-0.493206,-9.921572
1840019780,0.328006,-0.433351,-9.871294
1840020964,0.356736,-0.462081,-9.832987
1840022149,0.347159,-0.488417,-9.928755
1840023340,0.318429,-0.486023,-9.873688
1840024523,0.337582,-0.543484,-9.873688
1840025712,0.368707,-0.524330,-9.871294
1840026909,0.373495,-0.507571,-9.892841
1840028099,0.359130,-0.509965,-10.019734
1840029244,0.426168,-0.529119,-9.955091
1840030431,0.366313,-0.536301,-9.888053
1840031618,0.342371,-0.545878,-9.931149
1840032796,0.316035,-0.533907,-9.868899
1840033983,0.337582,-0.488417,-9.837775
1840035165,0.344765,-0.476446,-9.856929
1840036361,0.335188,-0.512359,-9.797073
1840037544,0.263362,-0.476446,-9.888053
1840038742,0.306458,-0.462081,-9.904813
1840039923,0.337582,-0.526724,-9.904813
1840041114,0.380678,-0.565032,-9.876082
1840042297,0.395043,-0.519542,-9.895236
1840043484,0.306458,-0.486023,-9.890448
1840044661,0.311246,-0.512359,-9.919178
1840045859,0.366313,-0.517148,-9.878476
1840047049,0.347159,-0.462081,-9.794679
1840048236,0.304064,-0.505177,-9.821015
1840049410,0.332794,-0.469264,-9.943120
1840050596,0.325611,-0.474052,-9.856929
1840051773,0.256180,-0.512359,-9.859323
1840052964,0.328006,-0.507571,-9.911995
1840054148,0.349553,-0.536301,-9.895236
1840055335,0.277727,-0.517148,-9.926360
